"","LRC_ID","Gmax_Michael","K_Michael","Rd_Michael","Amax_Mitsch","LCP_Mitsch","qLCP_Mitsch","Amax_NonRect","qLCP_NonRect","RD_NonRect","cF_NonRect"
"Estimate...1","ACRU_2",8.55087091855792,121.203219199958,2.1798525402451,5.41837674987347,48.4409441929837,0.0334580800093334,8.86549428520551,0.0884402261173129,2.2699838971277,-0.535880233954202
"Estimate...2","PIST_1",14.0710389507183,333.882252656975,0.256930978254869,11.4584691292385,-1.9071054888848,0.0297599350632634,15.0267853596813,0.0532360678946941,0.400159184464054,-0.662686509443052
"Estimate...3","QURU_1",29.3557469129925,342.874246234769,2.06507860080367,22.1129726622568,26.2988918088973,0.0591339794693497,25.5761661380808,0.0571700506854964,1.50366944100194,0.710816296610125
"Estimate...4","QURU_2",14.5176476114195,158.455377040442,1.4516359842785,11.3394077955164,18.3749432398282,0.0544380178103593,13.0839054426811,0.0545155090172619,1.00998135605138,0.723116593982294
"Estimate...5","PIRE_1",18.4530050222913,185.955357685343,0.0834516229751735,15.9944087417671,-6.84036093075223,0.0667326640166346,17.9979007290628,0.0875401282727804,-0.0403806084010497,0.232608991527914
"Estimate...6","PIST_2",15.1385436780947,275.440900738135,0.127873250678294,12.6719308084948,-6.21645762359053,0.0385218605854426,15.294856722114,0.0571982212695685,0.156114580825384,-0.0931538060402124
"Estimate...7","ACRU_5",14.2092678330078,154.726815350732,1.34861821367457,11.1968707904335,16.6064179659256,0.0546733610607661,12.6886857292837,0.0517973778305273,0.859773177338539,0.761723726699542
"Estimate...8","BEPA_1",25.9706701427415,273.785818650504,1.34401501673016,20.479711570422,13.7295813872077,0.0658822671109667,21.7639133735566,0.0528768729821044,0.579621105017973,0.860025261753071
"Estimate...9","ACRU_1",12.5212487963425,176.767995667209,2.29667730254069,8.62422708784417,46.5969765698286,0.0387807846903539,10.8869694032298,0.0385873062645665,1.8819063012187,0.833164018612031
"Estimate...10","PIRE_2",15.9651801999328,224.81072640129,4.60143586542879,9.13452308679446,105.801946427875,0.032363287049367,16.3769819098615,0.0804879551078721,4.70280995146637,-0.279904348974598
"Estimate...11","QURU_3",23.2763380328659,242.43479051468,2.44482514622901,17.3538779283396,31.2702000570657,0.0608239208581907,19.8689938024907,0.0535838443187567,1.73165595546299,0.83688770349296
"Estimate...12","TSCA_1",11.7591936323115,159.76457325347,1.06036953119786,9.28281659168993,15.6851718907839,0.0443415433665919,10.9149697947414,0.0506295656149544,0.812381717644771,0.581918907047107
"Estimate...13","BELE_1",11.8529373979754,110.628918475468,0.800919734244605,9.85760680870778,6.50499991963884,0.0643938950167662,10.6759940315118,0.0594569607385394,0.373483505591241,0.767270130775718
"Estimate...14","PIRU_1",8.93669583782576,143.680995629875,4.70964482519961,3.24998166633092,172.693086281132,0.0160002749908584,9.25432058316125,0.0785969073544857,4.82434144728543,-0.496982027519247
"Estimate...15","PIST_3",8.25051530105535,93.9835924257364,3.22329445005565,4.29860197401448,72.4432151940008,0.0301414743732106,8.20260949171351,0.0839788974290361,3.20029437538237,0.0727716826516106
"Estimate...16","TSCA_2",11.5976213789551,148.381297407237,1.05000992354413,9.22904326138494,13.7119092593582,0.0454626504690019,11.4527455736213,0.0726236516050117,1.00211372624246,0.133607810124795
"Estimate...17","BELE_2",12.9373059073044,138.824920865369,1.10846869837169,10.4045979182974,12.5367335419307,0.0551590422984413,11.5423591147065,0.0506029898630805,0.61814169539905,0.777844508151342
"Estimate...18","BELE_3",13.4648653817638,200.387602297147,-0.162490844142216,11.865826872073,-11.4301791169272,0.0463388063956961,11.8716026942416,0.0372613418892854,-0.643147823256339,0.775441354633755
"Estimate...19","QURU_4",20.6038434494934,217.569056599246,0.318981453819155,17.4266135848081,-2.86042604765179,0.0646362509765919,18.8088112654781,0.0637154278633449,-0.130242338967491,0.623269495952448
"Estimate...20","TSCA_3",14.6664232073767,162.041509582651,0.231638353550246,12.6596032414715,-2.90845035541653,0.059916349378588,13.2953931118129,0.0557439602317254,-0.180582293427962,0.694744171173033
"Estimate...21","FRAM2_1",5.34953023019065,60.8949480897773,1.21410143630046,3.7284763039003,21.4502880127143,0.039736873600588,5.31621171226882,0.0834193528409599,1.19929982798727,0.090531761996805
"Estimate...22","FRAM2_2",10.9373809952462,96.5662480607561,-0.68102606897948,10.592518362219,-13.9030454730137,0.0777926038356807,9.6872765344614,0.0560488633099349,-1.16755085341595,0.842856879534281
"Estimate...23","FRAM2_3",16.2900352333661,149.830982081283,0.0373045281381233,14.3175398878619,-5.41339803579872,0.0736184255148993,14.7573362946153,0.0671055479477888,-0.400671970258096,0.707550210599012
"Estimate...24","PIRE_3",17.5266979530436,377.536409195124,-1.05229006200458,15.3886699687224,-37.667205619597,0.0375394823872515,16.9114648758264,0.0420487699565553,-1.12662411435307,0.234732434006948
"Estimate...25","BELE_4",17.0336872837783,185.730512335785,-0.114287159729352,14.926687380095,-8.11658857783353,0.0640980917732812,14.984615515211,0.0520916886358367,-0.650803565687561,0.790086794857529
"Estimate...26","PIAB_1",15.9815648581372,250.637050688418,1.17763551782267,12.5008290038953,17.265642661125,0.0397103038646757,17.65749896976,0.105161158998077,1.5428872487714,-1.49304800554092
"Estimate...27","PIAB_2",21.7283944199383,230.777964006994,4.52306269380931,14.1467242020967,70.7090251171167,0.0489579434745187,22.0367481654196,0.100656953584775,4.59696318879273,-0.144891370468452
"Estimate...28","PIAB_3",23.2566302026224,336.843966647232,3.16989440166698,16.1403502992081,59.0081342578461,0.0420828927515921,23.9749868122089,0.076561249597922,3.27650797651426,-0.267574750841823
"Estimate...29","ACRU_6",12.201824422717,104.684382782187,0.690368885845428,10.33558155856,3.5635130556014,0.0691550137249668,11.3153713829731,0.0738641153999103,0.350069810993705,0.637212265892673
"Estimate...30","BELE_5",18.1046798807005,144.897800741608,1.57679974570485,14.4532801814036,13.6183584939626,0.0751118069186908,16.2603248808507,0.0719589930873712,0.980612636564417,0.746915274564755
"Estimate...31","PIST_5",11.1833244342481,251.97505220574,1.63236751069515,7.91052353320742,48.2029307125129,0.0254521575160001,11.6859508422764,0.0538542505786262,1.73426978670128,-0.484247019901165
"Estimate...32","QURU_5",19.5541519958694,193.574696715428,3.79012448238475,13.1650750578683,54.5216000102557,0.0545853324725176,17.2552150453518,0.058761523899513,3.20787223244254,0.773898225370455
"Estimate...33","TSCA_4",10.2053262593576,136.63329356211,0.917378466190424,8.17714658303729,12.2873559890348,0.0429959437737389,10.0384657260784,0.0675375109525376,0.858025427259444,0.17610872005523
"Estimate...34","TSCA_5",11.9793333677763,186.525686492654,1.76409446133928,8.66935395668572,36.5329986402203,0.0362345869855941,11.3614909167466,0.049773118930035,1.59792890374519,0.436037662311052
"Estimate...35","PIAB_4",13.7518803137536,165.920142787275,2.21726780625509,9.91201423159537,36.0206791763652,0.0434048840992417,14.7305157193136,0.128145953826546,2.51402829929636,-1.1193942408167
"Estimate...36","PIRE_4",15.0034196089033,322.782891516782,-0.160339874867816,12.6932714183989,-15.1972376430148,0.033799300521905,16.1406771533762,0.0614387696808949,0.0256835279823544,-0.790816868806941
"Estimate...37","PIRE_5",11.8598557991606,207.159595814395,3.0418866886905,7.22455934842409,83.8477959560275,0.0273203452309118,12.0181682243784,0.0611986228768414,3.08264067835505,-0.141986765508192
"Estimate...38","PIST_6",13.5734328656988,158.311323630303,1.33947286948884,10.5966339733312,17.3684007563382,0.0508472728834103,13.2080294491148,0.0744740767246744,1.23907168237095,0.261721482737826
"Estimate...39","QURU_6",11.0299601639626,124.407648940575,1.41164756606882,8.52426293758238,18.782802950815,0.0460708620881653,11.3435336078072,0.108153948131343,1.53482197028238,-0.402955076090176
"Estimate...40","TSCA_6",7.01213558362141,114.980628397668,0.407666457436305,5.90465550825425,3.64478763721172,0.0357548981238029,6.80121262109886,0.050307581325463,0.328520447590264,0.316401245381084
"Estimate...41","ACRU_3",10.6242399799674,159.305255848463,2.00573325266376,7.3627819156479,43.6849106551341,0.0347253310732285,9.88314537091298,0.0457412145222629,1.77356218612865,0.572653626584282
"Estimate...42","ACRU_4",13.2264106952234,136.389622119112,0.813539704509056,10.9501200387815,6.66714690575392,0.059275811400727,12.1478321281049,0.0611682694584233,0.449872815849236,0.656142742685312
"Estimate...43","PIRE_6",16.0866683777762,321.675231526773,-1.90561271382529,15.337852051562,-59.6578127218349,0.0411131281816052,16.9091703370665,0.0600308410522067,-1.7741408424088,-0.488287219444154
"Estimate...44","PIST_4",11.1270597500908,277.42702024655,-0.808934852043344,10.2067193816318,-36.6141727705472,0.030941411990341,11.1761910128245,0.0407847651896045,-0.800287012078864,-0.0387741216671432
